Complexity	Model	Value	Type
4_modality	ClinicalMetabolomicsMetbMetabolomicsBiocOlink	0.555452484023913	AUPRC
4_modality	ClinicalMetabolomicsMetbMetabolomicsBiocOlink	0.571206820601818	Weighted LogLoss
5_modality	ClinicalTranscriptomicsMetabolomicsMetbMetabolomicsBiocOlink	0.835978835978836	AUROC
5_modality	ClinicalTranscriptomicsMetabolomicsMetbMetabolomicsBiocOlink	0.494401364034516	AUPRC
5_modality	ClinicalTranscriptomicsMetabolomicsMetbMetabolomicsBiocOlink	0.550966802721558	Weighted LogLoss
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.825396825396825	AUROC
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.461348959873805	AUPRC
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.632432292482449	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.82967032967033	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.552753555967842	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.639831797690837	Weighted LogLoss
1_modality	Clinical	0.796703296703297	AUROC
1_modality	Clinical	0.517227208609196	AUPRC
1_modality	Clinical	0.622391239001314	Weighted LogLoss
2_modality	ClinicalProteomics	0.813186813186813	AUROC
2_modality	ClinicalProteomics	0.570131214541152	AUPRC
2_modality	ClinicalProteomics	0.645820167337918	Weighted LogLoss
3_modality	ClinicalProteomicsOlink	0.802197802197802	AUROC
3_modality	ClinicalProteomicsOlink	0.570131214541152	AUPRC
3_modality	ClinicalProteomicsOlink	0.61863188212428	Weighted LogLoss
4_modality	ClinicalProteomicsMetabolomicsBiocOlink	0.804232804232804	AUROC
4_modality	ClinicalProteomicsMetabolomicsBiocOlink	0.514484126984127	AUPRC
4_modality	ClinicalProteomicsMetabolomicsBiocOlink	0.602246008855486	Weighted LogLoss
5_modality	ClinicalProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.824175824175824	AUROC
5_modality	ClinicalProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.529987373737374	AUPRC
5_modality	ClinicalProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.641361792228592	Weighted LogLoss
6_modality	ClinicalMethylomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.824175824175824	AUROC
6_modality	ClinicalMethylomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.530846821487216	AUPRC
6_modality	ClinicalMethylomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.640875810030064	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.824175824175824	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.530846821487216	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.630431312438659	Weighted LogLoss
1_modality	Clinical	0.824175824175824	AUROC
1_modality	Clinical	0.55007215007215	AUPRC
1_modality	Clinical	0.617212591272687	Weighted LogLoss
2_modality	ClinicalMetabolomicsMetb	0.807692307692308	AUROC
2_modality	ClinicalMetabolomicsMetb	0.599603174603175	AUPRC
2_modality	ClinicalMetabolomicsMetb	0.63897545089214	Weighted LogLoss
3_modality	ClinicalMethylomicsMetabolomicsMetb	0.807692307692308	AUROC
3_modality	ClinicalMethylomicsMetabolomicsMetb	0.599603174603175	AUPRC
